Participant_ID,Program,Start_Date,Duration_Days,End_Date,Hours_Trained,Completion_Status,Outcome_Score
83,Technical Skills,2024-06-25,44,2024-08-08,20,Complete,99
84,Job Readiness,2024-09-28,50,2024-11-17,23,Complete,54
85,Job Readiness,2024-03-16,39,2024-04-24,69,Complete,96
86,Technical Skills,2024-10-08,26,2024-11-03,39,Complete,98
87,Career Coaching,2024-11-08,58,2025-01-05,44,Complete,84
88,Job Readiness,2024-11-04,29,2024-12-03,94,Complete,93
89,Technical Skills,2024-09-23,57,2024-11-19,46,Complete,83
90,Job Readiness,2024-12-03,34,2025-01-06,14,Incomplete,82
91,Job Readiness,2024-02-13,31,2024-03-15,92,Incomplete,70
92,Job Readiness,2024-08-20,22,2024-09-11,87,Complete,66
93,Job Readiness,2024-11-08,28,2024-12-06,35,Complete,71
94,Career Coaching,2024-10-08,58,2024-12-05,71,Complete,97
95,Job Readiness,2024-11-15,45,2024-12-30,13,Complete,86
96,Job Readiness,2024-11-11,21,2024-12-02,98,Incomplete,64
97,Job Readiness,2024-03-10,50,2024-04-29,51,Incomplete,84
98,Career Coaching,2024-10-11,28,2024-11-08,98,Complete,77
99,Job Readiness,2024-03-08,21,2024-03-29,27,Complete,56
100,Job Readiness,2024-08-11,18,2024-08-29,49,Complete,81
101,Career Coaching,2024-12-02,16,2024-12-18,81,Complete,60
102,Career Coaching,2024-05-23,37,2024-06-29,48,Complete,59
103,Career Coaching,2024-03-13,23,2024-04-05,23,Incomplete,58
104,Job Readiness,2024-10-12,40,2024-11-21,41,Complete,63
105,Career Coaching,2024-08-31,28,2024-09-28,60,Complete,62
106,Career Coaching,2024-10-22,56,2024-12-17,47,Incomplete,74
107,Job Readiness,2024-09-19,25,2024-10-14,32,Complete,51
108,Career Coaching,2024-11-05,14,2024-11-19,72,Complete,84
109,Job Readiness,2024-10-07,44,2024-11-20,24,Complete,56
110,Technical Skills,2024-06-24,21,2024-07-15,34,Complete,70
111,Career Coaching,2024-09-27,34,2024-10-31,26,Complete,67
112,Technical Skills,2024-12-23,30,2025-01-22,75,Complete,52
113,Job Readiness,2024-09-22,45,2024-11-06,87,Complete,91
114,Career Coaching,2024-09-16,32,2024-10-18,62,Incomplete,88
115,Job Readiness,2024-09-16,25,2024-10-11,60,Complete,90
116,Technical Skills,2024-01-05,48,2024-02-22,48,Incomplete,98
117,Job Readiness,2024-02-13,54,2024-04-07,60,Incomplete,60
118,Career Coaching,2024-11-25,51,2025-01-15,79,Complete,88
119,Career Coaching,2024-06-22,48,2024-08-09,15,Incomplete,73
120,Technical Skills,2024-06-27,23,2024-07-20,76,Complete,95
121,Job Readiness,2024-07-02,40,2024-08-11,16,Incomplete,68
122,Career Coaching,2024-08-24,14,2024-09-07,60,Complete,53
123,Technical Skills,2024-02-16,44,2024-03-31,81,Complete,75
124,Career Coaching,2024-08-25,32,2024-09-26,51,Complete,87
125,Career Coaching,2024-06-02,38,2024-07-10,73,Incomplete,91
126,Job Readiness,2024-01-09,52,2024-03-01,24,Complete,81
127,Career Coaching,2024-08-19,20,2024-09-08,38,Complete,88
128,Job Readiness,2024-08-04,27,2024-08-31,42,Incomplete,94
129,Career Coaching,2024-01-10,56,2024-03-06,36,Complete,95
130,Technical Skills,2024-05-17,21,2024-06-07,45,Complete,85
131,Career Coaching,2024-02-02,18,2024-02-20,38,Complete,89
132,Job Readiness,2024-05-11,19,2024-05-30,47,Complete,86
133,Job Readiness,2024-12-09,53,2025-01-31,66,Complete,82
134,Technical Skills,2024-07-06,26,2024-08-01,36,Incomplete,85
135,Career Coaching,2024-07-12,47,2024-08-28,64,Complete,52
136,Career Coaching,2024-03-29,16,2024-04-14,42,Complete,58
137,Technical Skills,2024-08-20,55,2024-10-14,77,Complete,57
138,Career Coaching,2024-07-04,22,2024-07-26,95,Incomplete,82
139,Career Coaching,2024-08-14,49,2024-10-02,75,Incomplete,55
140,Job Readiness,2024-12-30,51,2025-02-19,19,Complete,90
141,Career Coaching,2024-10-04,18,2024-10-22,14,Incomplete,88
142,Career Coaching,2024-12-03,59,2025-01-31,83,Complete,53
143,Technical Skills,2024-07-11,36,2024-08-16,47,Incomplete,62
144,Technical Skills,2024-01-04,11,2024-01-15,22,Complete,98
145,Job Readiness,2024-11-09,14,2024-11-23,40,Incomplete,51
146,Career Coaching,2024-11-12,38,2024-12-20,56,Complete,54
147,Career Coaching,2024-01-23,46,2024-03-09,97,Complete,93
148,Career Coaching,2024-05-08,47,2024-06-24,61,Incomplete,76
149,Job Readiness,2024-06-28,28,2024-07-26,65,Complete,81
150,Job Readiness,2024-07-11,17,2024-07-28,24,Complete,70
151,Technical Skills,2024-05-29,57,2024-07-25,38,Complete,57
152,Job Readiness,2024-06-03,54,2024-07-27,17,Complete,87
153,Career Coaching,2024-07-19,10,2024-07-29,14,Complete,57
154,Career Coaching,2024-06-21,31,2024-07-22,38,Complete,99
155,Job Readiness,2024-12-07,26,2025-01-02,56,Complete,52
156,Career Coaching,2024-07-22,16,2024-08-07,77,Complete,93
157,Career Coaching,2024-11-09,34,2024-12-13,85,Incomplete,52
158,Job Readiness,2024-02-17,54,2024-04-11,54,Complete,71
159,Job Readiness,2024-10-29,13,2024-11-11,11,Complete,55
160,Career Coaching,2024-09-08,45,2024-10-23,36,Complete,51
161,Career Coaching,2024-08-30,15,2024-09-14,45,Complete,72
162,Career Coaching,2024-08-04,40,2024-09-13,45,Incomplete,93
163,Technical Skills,2024-12-28,28,2025-01-25,35,Complete,51
164,Technical Skills,2024-07-21,53,2024-09-12,52,Complete,87
165,Technical Skills,2024-10-20,48,2024-12-07,36,Incomplete,66
166,Job Readiness,2024-02-21,36,2024-03-28,78,Incomplete,84
167,Technical Skills,2024-07-28,19,2024-08-16,29,Complete,83
168,Job Readiness,2024-01-29,35,2024-03-04,20,Incomplete,72
169,Job Readiness,2024-03-06,28,2024-04-03,83,Incomplete,79
170,Technical Skills,2024-08-08,48,2024-09-25,47,Complete,57
171,Technical Skills,2024-05-10,12,2024-05-22,15,Incomplete,71
172,Technical Skills,2024-07-19,54,2024-09-11,81,Complete,93
173,Career Coaching,2024-08-11,22,2024-09-02,32,Complete,85
174,Technical Skills,2024-07-30,59,2024-09-27,56,Complete,54
175,Career Coaching,2024-07-15,37,2024-08-21,99,Complete,62
176,Job Readiness,2024-11-27,29,2024-12-26,55,Incomplete,78
177,Career Coaching,2024-06-09,37,2024-07-16,21,Incomplete,80
178,Technical Skills,2024-03-21,17,2024-04-07,99,Complete,96
179,Job Readiness,2024-12-25,50,2025-02-13,22,Complete,65
180,Job Readiness,2024-02-12,48,2024-03-31,71,Complete,91
181,Job Readiness,2024-09-07,10,2024-09-17,91,Complete,79
182,Career Coaching,2024-07-09,12,2024-07-21,98,Complete,65
183,Technical Skills,2024-05-25,22,2024-06-16,69,Complete,61
184,Job Readiness,2024-02-28,37,2024-04-05,52,Incomplete,66
185,Job Readiness,2024-04-26,58,2024-06-23,85,Complete,65
186,Job Readiness,2024-09-26,34,2024-10-30,77,Incomplete,61
187,Career Coaching,2024-02-21,42,2024-04-03,14,Complete,57
188,Career Coaching,2024-04-11,47,2024-05-28,46,Complete,69
189,Technical Skills,2024-10-07,15,2024-10-22,81,Complete,52
190,Career Coaching,2024-11-24,53,2025-01-16,40,Complete,65
191,Job Readiness,2024-11-28,54,2025-01-21,18,Incomplete,79
192,Technical Skills,2024-02-28,41,2024-04-09,60,Complete,94
193,Job Readiness,2024-02-09,54,2024-04-03,38,Incomplete,72
194,Job Readiness,2024-02-15,56,2024-04-11,87,Complete,77
195,Career Coaching,2024-02-16,30,2024-03-17,49,Incomplete,89
196,Technical Skills,2024-02-27,25,2024-03-23,50,Complete,54
197,Career Coaching,2024-01-14,30,2024-02-13,95,Incomplete,69
198,Career Coaching,2024-06-28,20,2024-07-18,20,Incomplete,89
199,Technical Skills,2024-03-28,46,2024-05-13,32,Complete,93
200,Job Readiness,2024-11-13,45,2024-12-28,10,Complete,50
201,Job Readiness,2024-12-26,44,2025-02-08,55,Incomplete,79
202,Technical Skills,2024-03-06,28,2024-04-03,30,Incomplete,70
203,Job Readiness,2024-08-11,29,2024-09-09,99,Complete,69
204,Technical Skills,2024-09-01,27,2024-09-28,45,Complete,55
205,Technical Skills,2024-07-23,56,2024-09-17,63,Incomplete,71
206,Career Coaching,2024-11-16,50,2025-01-05,96,Incomplete,67
207,Technical Skills,2024-02-05,58,2024-04-03,66,Incomplete,57
208,Career Coaching,2024-05-05,23,2024-05-28,10,Incomplete,88
209,Job Readiness,2024-01-29,24,2024-02-22,72,Complete,81
210,Job Readiness,2024-07-23,40,2024-09-01,63,Complete,82
211,Job Readiness,2024-05-23,10,2024-06-02,64,Complete,65
212,Job Readiness,2024-07-24,12,2024-08-05,49,Complete,61
213,Career Coaching,2024-02-18,25,2024-03-14,24,Complete,87
214,Job Readiness,2024-06-14,32,2024-07-16,30,Complete,83
215,Technical Skills,2024-05-21,20,2024-06-10,56,Incomplete,63
216,Technical Skills,2024-11-27,21,2024-12-18,82,Complete,85
217,Technical Skills,2024-01-23,19,2024-02-11,62,Complete,82
218,Career Coaching,2024-09-27,41,2024-11-07,18,Complete,72
219,Job Readiness,2024-07-08,25,2024-08-02,83,Complete,99
220,Job Readiness,2024-10-21,17,2024-11-07,61,Complete,94
221,Job Readiness,2024-06-28,47,2024-08-14,66,Complete,51
222,Career Coaching,2024-04-16,21,2024-05-07,35,Complete,90
223,Technical Skills,2024-09-30,33,2024-11-02,50,Complete,70
224,Technical Skills,2024-02-25,37,2024-04-02,44,Complete,51
225,Job Readiness,2024-09-15,17,2024-10-02,72,Complete,76
226,Technical Skills,2024-10-03,37,2024-11-09,34,Complete,58
227,Technical Skills,2024-09-29,45,2024-11-13,99,Incomplete,50
228,Career Coaching,2024-05-09,35,2024-06-13,84,Complete,60
229,Career Coaching,2024-01-29,17,2024-02-15,47,Incomplete,52
230,Career Coaching,2024-08-07,59,2024-10-05,11,Incomplete,72
231,Career Coaching,2024-05-22,37,2024-06-28,16,Complete,75
232,Job Readiness,2024-06-02,37,2024-07-09,91,Complete,53
233,Career Coaching,2024-09-18,46,2024-11-03,43,Complete,67
234,Technical Skills,2024-07-25,50,2024-09-13,26,Complete,55
235,Job Readiness,2024-02-28,45,2024-04-13,52,Complete,84
236,Technical Skills,2024-09-23,36,2024-10-29,68,Complete,71
237,Technical Skills,2024-08-15,26,2024-09-10,60,Complete,92
238,Technical Skills,2024-05-29,18,2024-06-16,63,Complete,64
239,Career Coaching,2024-02-02,42,2024-03-15,33,Complete,71
240,Career Coaching,2024-10-19,29,2024-11-17,34,Complete,86
241,Job Readiness,2024-01-05,22,2024-01-27,80,Complete,91
242,Job Readiness,2024-11-27,37,2025-01-03,61,Complete,61
243,Career Coaching,2024-09-01,57,2024-10-28,79,Complete,96
244,Technical Skills,2024-07-12,38,2024-08-19,97,Incomplete,98
245,Job Readiness,2024-07-12,22,2024-08-03,42,Complete,91
246,Career Coaching,2024-05-19,55,2024-07-13,58,Complete,87
247,Career Coaching,2024-11-17,44,2024-12-31,38,Complete,67
248,Career Coaching,2024-09-16,15,2024-10-01,72,Complete,94
249,Technical Skills,2024-08-30,27,2024-09-26,31,Incomplete,84
250,Career Coaching,2024-07-31,14,2024-08-14,35,Complete,79
251,Career Coaching,2024-12-15,56,2025-02-09,37,Complete,73
252,Career Coaching,2024-01-28,34,2024-03-02,94,Incomplete,91
253,Career Coaching,2024-11-04,11,2024-11-15,58,Incomplete,79
254,Job Readiness,2024-04-20,19,2024-05-09,80,Incomplete,63
255,Job Readiness,2024-12-01,39,2025-01-09,90,Complete,55
256,Career Coaching,2024-03-07,59,2024-05-05,93,Complete,52
257,Technical Skills,2024-06-11,54,2024-08-04,58,Complete,65
258,Job Readiness,2024-05-27,14,2024-06-10,29,Complete,56
259,Career Coaching,2024-01-04,42,2024-02-15,95,Complete,63
260,Job Readiness,2024-12-05,10,2024-12-15,72,Complete,58
261,Job Readiness,2024-07-02,27,2024-07-29,70,Complete,64
262,Technical Skills,2024-02-08,41,2024-03-20,58,Complete,70
263,Career Coaching,2024-11-28,56,2025-01-23,80,Complete,84
264,Career Coaching,2024-10-20,58,2024-12-17,10,Incomplete,51
265,Technical Skills,2024-05-12,20,2024-06-01,22,Incomplete,76
266,Technical Skills,2024-05-04,30,2024-06-03,96,Complete,51
267,Career Coaching,2024-06-09,35,2024-07-14,60,Complete,84
268,Career Coaching,2024-01-28,34,2024-03-02,65,Incomplete,67
269,Technical Skills,2024-01-25,31,2024-02-25,92,Complete,63
270,Job Readiness,2024-02-10,36,2024-03-17,71,Incomplete,69
271,Job Readiness,2024-10-18,58,2024-12-15,41,Complete,67
272,Technical Skills,2024-08-23,22,2024-09-14,39,Complete,59
273,Job Readiness,2024-08-04,42,2024-09-15,38,Incomplete,74
274,Technical Skills,2024-11-03,43,2024-12-16,58,Complete,51
275,Job Readiness,2024-03-07,50,2024-04-26,54,Complete,74
276,Job Readiness,2024-04-07,44,2024-05-21,39,Incomplete,82
277,Career Coaching,2024-11-19,10,2024-11-29,25,Complete,85
278,Career Coaching,2024-04-04,30,2024-05-04,49,Complete,80
279,Job Readiness,2024-02-18,57,2024-04-15,28,Incomplete,63
280,Job Readiness,2024-12-02,15,2024-12-17,27,Complete,50
281,Career Coaching,2024-05-10,37,2024-06-16,10,Incomplete,95
282,Career Coaching,2024-02-08,26,2024-03-05,87,Complete,65
283,Career Coaching,2024-05-13,14,2024-05-27,56,Complete,95
284,Technical Skills,2024-04-27,40,2024-06-06,75,Complete,52
285,Job Readiness,2024-01-13,14,2024-01-27,47,Complete,84
286,Career Coaching,2024-09-23,47,2024-11-09,60,Incomplete,90
287,Job Readiness,2024-10-27,12,2024-11-08,72,Incomplete,55
288,Technical Skills,2024-10-11,32,2024-11-12,13,Complete,74
289,Technical Skills,2024-03-04,46,2024-04-19,10,Incomplete,62
290,Career Coaching,2024-03-02,46,2024-04-17,17,Complete,83
291,Technical Skills,2024-12-13,19,2025-01-01,38,Complete,57
292,Job Readiness,2024-06-19,19,2024-07-08,64,Complete,70
293,Career Coaching,2024-12-01,28,2024-12-29,12,Complete,83
294,Job Readiness,2024-10-31,26,2024-11-26,41,Complete,53
295,Job Readiness,2024-12-01,30,2024-12-31,19,Incomplete,74
296,Technical Skills,2024-12-09,23,2025-01-01,83,Complete,64
297,Technical Skills,2024-06-29,18,2024-07-17,92,Complete,53
298,Technical Skills,2024-05-30,55,2024-07-24,43,Complete,94
299,Technical Skills,2024-06-16,10,2024-06-26,96,Complete,61
300,Technical Skills,2024-06-21,54,2024-08-14,64,Complete,81
301,Career Coaching,2024-01-23,22,2024-02-14,41,Complete,81
302,Job Readiness,2024-05-02,13,2024-05-15,59,Complete,77
303,Job Readiness,2024-12-29,10,2025-01-08,16,Complete,62
304,Job Readiness,2024-06-27,58,2024-08-24,17,Complete,80
305,Job Readiness,2024-09-24,49,2024-11-12,74,Complete,63
306,Technical Skills,2024-02-05,41,2024-03-17,66,Complete,69
307,Job Readiness,2024-09-29,43,2024-11-11,76,Complete,67
308,Career Coaching,2024-08-23,37,2024-09-29,97,Incomplete,78
309,Career Coaching,2024-11-28,40,2025-01-07,96,Complete,55
310,Job Readiness,2024-09-04,17,2024-09-21,68,Complete,81
311,Job Readiness,2024-07-14,48,2024-08-31,81,Complete,78
312,Career Coaching,2024-07-11,35,2024-08-15,63,Complete,92
313,Career Coaching,2024-10-06,43,2024-11-18,76,Complete,51
314,Technical Skills,2024-03-13,12,2024-03-25,60,Complete,72
315,Career Coaching,2024-12-10,59,2025-02-07,17,Complete,68
316,Technical Skills,2024-08-16,21,2024-09-06,43,Complete,80
317,Technical Skills,2024-11-23,10,2024-12-03,44,Complete,54
318,Technical Skills,2024-11-03,53,2024-12-26,97,Complete,68
319,Technical Skills,2024-01-19,14,2024-02-02,87,Complete,83
320,Technical Skills,2024-02-21,39,2024-03-31,41,Complete,59
321,Job Readiness,2024-03-09,39,2024-04-17,55,Complete,74
322,Career Coaching,2024-06-11,26,2024-07-07,25,Incomplete,51
323,Technical Skills,2024-04-10,57,2024-06-06,77,Complete,60
324,Career Coaching,2024-06-12,56,2024-08-07,46,Incomplete,99
325,Career Coaching,2024-07-04,32,2024-08-05,63,Complete,80
326,Technical Skills,2024-01-11,24,2024-02-04,94,Incomplete,64
327,Job Readiness,2024-11-06,46,2024-12-22,23,Complete,58
328,Technical Skills,2024-08-03,30,2024-09-02,64,Complete,72
329,Job Readiness,2024-01-23,23,2024-02-15,57,Incomplete,68
330,Career Coaching,2024-08-12,11,2024-08-23,91,Complete,58
331,Job Readiness,2024-02-18,20,2024-03-09,16,Complete,84
332,Job Readiness,2024-07-08,48,2024-08-25,83,Complete,70
333,Job Readiness,2024-11-10,47,2024-12-27,16,Complete,58
334,Career Coaching,2024-02-14,43,2024-03-28,42,Complete,77
335,Career Coaching,2024-03-09,47,2024-04-25,32,Complete,95
336,Job Readiness,2024-11-20,59,2025-01-18,94,Complete,56
337,Job Readiness,2024-11-13,43,2024-12-26,28,Complete,65
338,Technical Skills,2024-07-14,27,2024-08-10,28,Incomplete,65
339,Job Readiness,2024-12-29,39,2025-02-06,45,Complete,82
340,Technical Skills,2024-10-28,24,2024-11-21,38,Incomplete,53
341,Job Readiness,2024-03-22,36,2024-04-27,69,Complete,53
342,Technical Skills,2024-05-18,43,2024-06-30,91,Complete,88
343,Career Coaching,2024-08-15,47,2024-10-01,11,Complete,89
344,Job Readiness,2024-10-15,42,2024-11-26,10,Complete,66
345,Job Readiness,2024-11-22,33,2024-12-25,56,Incomplete,86
346,Job Readiness,2024-07-26,24,2024-08-19,78,Complete,88
347,Job Readiness,2024-08-08,39,2024-09-16,29,Incomplete,78
348,Technical Skills,2024-03-26,51,2024-05-16,20,Complete,85
349,Job Readiness,2024-08-07,26,2024-09-02,11,Complete,87
350,Career Coaching,2024-12-19,14,2025-01-02,76,Complete,88
351,Career Coaching,2024-08-09,38,2024-09-16,96,Complete,99
352,Job Readiness,2024-07-30,13,2024-08-12,21,Complete,86
353,Career Coaching,2024-04-08,19,2024-04-27,29,Complete,84
354,Job Readiness,2024-01-13,26,2024-02-08,14,Complete,56
355,Job Readiness,2024-10-03,19,2024-10-22,46,Complete,76
356,Career Coaching,2024-10-08,26,2024-11-03,47,Complete,77
357,Job Readiness,2024-11-25,29,2024-12-24,18,Complete,71
358,Career Coaching,2024-09-24,33,2024-10-27,62,Complete,63
359,Technical Skills,2024-12-16,14,2024-12-30,53,Complete,56
360,Job Readiness,2024-05-21,43,2024-07-03,95,Complete,86
361,Technical Skills,2024-04-07,15,2024-04-22,33,Complete,71
362,Career Coaching,2024-11-16,11,2024-11-27,90,Complete,54
363,Technical Skills,2024-02-11,22,2024-03-04,83,Complete,51
364,Technical Skills,2024-02-05,52,2024-03-28,39,Complete,76
365,Career Coaching,2024-11-20,52,2025-01-11,68,Incomplete,70
366,Technical Skills,2024-07-09,57,2024-09-04,96,Complete,87
367,Technical Skills,2024-06-16,20,2024-07-06,90,Complete,64
368,Career Coaching,2024-02-24,56,2024-04-20,90,Complete,70
369,Technical Skills,2024-03-02,32,2024-04-03,23,Complete,59
370,Career Coaching,2024-10-31,25,2024-11-25,18,Complete,72
371,Technical Skills,2024-11-17,40,2024-12-27,49,Complete,88
372,Career Coaching,2024-05-22,20,2024-06-11,75,Incomplete,54
373,Career Coaching,2024-01-18,25,2024-02-12,34,Complete,50
374,Technical Skills,2024-11-28,17,2024-12-15,82,Complete,62
375,Technical Skills,2024-07-02,13,2024-07-15,31,Complete,70
376,Technical Skills,2024-02-13,49,2024-04-02,13,Complete,75
377,Job Readiness,2024-07-26,13,2024-08-08,35,Complete,99
378,Job Readiness,2024-09-12,34,2024-10-16,67,Complete,94
379,Job Readiness,2024-09-19,12,2024-10-01,38,Complete,70
380,Career Coaching,2024-04-22,41,2024-06-02,96,Incomplete,67
381,Technical Skills,2024-01-26,12,2024-02-07,46,Complete,86
382,Career Coaching,2024-08-22,36,2024-09-27,84,Complete,94
383,Job Readiness,2024-08-06,38,2024-09-13,79,Complete,81
384,Technical Skills,2024-08-09,41,2024-09-19,27,Complete,85
385,Career Coaching,2024-09-22,59,2024-11-20,94,Complete,66
386,Technical Skills,2024-08-10,28,2024-09-07,51,Complete,84
387,Career Coaching,2024-01-16,30,2024-02-15,50,Incomplete,98
388,Technical Skills,2024-10-11,14,2024-10-25,47,Complete,60
389,Job Readiness,2024-11-16,27,2024-12-13,43,Complete,70
390,Job Readiness,2024-10-29,37,2024-12-05,26,Incomplete,75
391,Technical Skills,2024-02-20,51,2024-04-11,46,Complete,53
392,Career Coaching,2024-08-31,31,2024-10-01,34,Complete,83
393,Job Readiness,2024-01-29,30,2024-02-28,85,Complete,97
394,Job Readiness,2024-05-20,15,2024-06-04,96,Incomplete,67
395,Job Readiness,2024-12-06,10,2024-12-16,95,Complete,89
396,Technical Skills,2024-05-22,14,2024-06-05,94,Complete,84
397,Technical Skills,2024-03-07,50,2024-04-26,36,Complete,90
398,Career Coaching,2024-03-20,21,2024-04-10,66,Complete,78
399,Career Coaching,2024-02-14,35,2024-03-20,40,Complete,78
400,Career Coaching,2024-08-26,55,2024-10-20,15,Complete,87
401,Technical Skills,2024-09-11,43,2024-10-24,49,Complete,91
402,Technical Skills,2024-05-06,58,2024-07-03,21,Complete,70
403,Career Coaching,2024-11-01,23,2024-11-24,62,Complete,91
404,Career Coaching,2024-02-23,35,2024-03-29,80,Complete,62
405,Technical Skills,2024-04-15,54,2024-06-08,19,Complete,98
406,Career Coaching,2024-03-28,36,2024-05-03,54,Complete,90
407,Job Readiness,2024-08-04,18,2024-08-22,26,Complete,66
408,Technical Skills,2024-08-30,35,2024-10-04,35,Complete,58
409,Career Coaching,2024-09-07,56,2024-11-02,94,Complete,90
410,Technical Skills,2024-06-30,31,2024-07-31,71,Incomplete,50
411,Job Readiness,2024-02-08,56,2024-04-04,55,Complete,51
412,Technical Skills,2024-10-28,39,2024-12-06,73,Complete,97
413,Technical Skills,2024-03-22,52,2024-05-13,11,Complete,78
414,Technical Skills,2024-10-17,57,2024-12-13,63,Complete,82
415,Technical Skills,2024-12-15,26,2025-01-10,74,Complete,59
